token_position,token_id,token,token_reward,old_critic_value,next_critic_value,discounted_next_value,stored_delta,recomputed_delta,stored_raw_advantage,recomputed_raw_advantage,stored_normalized_advantage,recomputed_normalized_advantage,stored_return,recomputed_return,final_critic_value
0,151667,151667,-0.0,-1.5234375,4.375,4.375,5.8984375,5.8984375,4.1167903,4.116790448258672,2.8292074,2.82920763091118,2.5933528,2.593352948258672,-1.03125
1,271,271,-0.0,4.375,0.3671875,0.3671875,-4.0078125,-4.0078125,-1.8754179,-1.875417949201398,-0.9090674,-0.9090673481130016,2.4995821,2.499582050798602,4.125
2,151668,151668,-0.0,0.3671875,2.34375,2.34375,1.9765625,1.9765625,2.2446258,2.2446258429458967,1.6612465,1.6612465660687143,2.6118133,2.6118133429458967,0.6054688
3,271,271,-0.0,2.34375,-0.0269775,-0.0269775,-2.3707275,-2.3707275,0.282172,0.2821719399430491,0.4369579,0.4369579838836384,2.625922,2.625921939943049,2.421875
4,7941,7941,-0.0,-0.0269775,1.8125,1.8125,1.8394775,1.8394775,2.7925258,2.7925257262558416,2.0030572,2.003057178939924,2.7655482,2.7655482262558415,-0.0180664
5,3880,3880,-0.0,1.8125,4.03125,4.03125,2.21875,2.21875,1.0032086,1.0032086592166756,0.886781,0.8867810454047964,2.8157086,2.815708659216676,1.671875
6,311,311,-0.0,4.03125,1.4453125,1.4453125,-2.5859375,-2.5859375,-1.2795173,-1.2795172008245521,-0.5373112,-0.5373111090303985,2.7517328,2.751732799175448,3.765625
7,1281,1281,-0.0,1.4453125,2.890625,2.890625,1.4453125,1.4453125,1.3751792,1.3751792622899452,1.118837,1.1188371265969568,2.8204918,2.8204917622899455,1.34375
8,220,220,-0.0,2.890625,1.5625,1.5625,-1.328125,-1.328125,-0.0738245,-0.0738244607474261,0.2148674,0.21486750420540077,2.8168006,2.816800539252574,2.71875
9,16,16,-0.0,1.5625,5.21875,5.21875,3.65625,3.65625,1.3203163,1.3203163571079726,1.0846105,1.0846105756970785,2.8828163,2.8828163571079726,1.484375
10,23,23,-0.0,5.21875,2.34375,2.34375,-2.875,-2.875,-2.4588776,-2.458877518833713,-1.2730621,-1.2730620835686681,2.7598724,2.759872481166287,5.0625
11,14709,14709,-0.0,2.34375,2.515625,2.515625,0.171875,0.171875,0.4380237,0.4380236643855651,0.534187,0.534187012528267,2.7817736,2.781773664385565,2.1875
12,353,353,-0.0,2.515625,3.75,3.75,1.234375,1.234375,0.2801565,0.2801564888269107,0.4357006,0.43570063267367376,2.7957816,2.795781488826911,2.328125
13,220,220,-0.0,3.75,3.734375,3.734375,-0.015625,-0.015625,-1.0044405,-1.0044405380769361,-0.365703,-0.3657028909152276,2.7455595,2.745559461923064,3.546875
14,17,17,-0.0,3.734375,3.296875,3.296875,-0.4375,-0.4375,-1.0408585,-1.0408584611336171,-0.3884225,-0.3884224296095969,2.6935165,2.693516538866383,3.625
15,85976,85976,-0.0,3.296875,1.7265625,1.7265625,-1.5703125,-1.5703125,-0.6351141,-0.6351141696143338,-0.1352964,-0.13529643126959376,2.6617608,2.661760830385666,3.109375
16,4846,4846,-0.0,1.7265625,0.8046875,0.8046875,-0.921875,-0.921875,0.9844193,0.9844192951428066,0.8750591,0.8750591884648921,2.7109818,2.7109817951428066,1.5625
17,3045,3045,-0.0,0.8046875,3.359375,3.359375,2.5546875,2.5546875,2.0066257,2.0066255738345333,1.5127687,1.5127686774496942,2.8113132,2.8113130738345333,0.6289062
18,284,284,-0.0,3.359375,3.40625,3.40625,0.046875,0.046875,-0.5769072,-0.5769072907004913,-0.0989837,-0.09898372239535981,2.7824678,2.7824677092995085,3.171875
19,220,220,-0.0,3.40625,1.8203125,1.8203125,-1.5859375,-1.5859375,-0.6566128,-0.6566129375794646,-0.1487085,-0.14870856600074916,2.7496371,2.7496370624205353,3.25
20,18,18,-0.0,1.8203125,3.40625,3.40625,1.5859375,1.5859375,0.9782365,0.9782363814953005,0.871202,0.8712019408772186,2.7985489,2.7985488814953006,1.6953125
21,21,21,-0.0,3.40625,3.109375,3.109375,-0.296875,-0.296875,-0.6396853,-0.6396853878996838,-0.1381482,-0.13814821308462963,2.7665648,2.766564612100316,3.328125
22,85976,85976,-0.0,3.109375,2.625,2.625,-0.484375,-0.484375,-0.3608529,-0.36085303989440404,0.035803,0.03580301169796045,2.748522,2.748521960105596,2.875
23,198,198,-0.0,2.625,-0.3867188,-0.3867188,-3.0117188,-3.0117188,0.1300232,0.13002311590062732,0.342039,0.342039031757937,2.7550232,2.7550231159006273,2.390625
24,12549,12549,-0.0,-0.3867188,3.984375,3.984375,4.3710938,4.3710938,3.307097,3.307096753579608,2.3240755,2.32407538604877,2.9203782,2.920377953579608,-0.390625
25,1340,1340,-0.0,3.984375,2.5,2.5,-1.484375,-1.484375,-1.1199968,-1.1199968909688334,-0.4377934,-0.43779341147625705,2.8643782,2.8643781090311666,3.828125
26,3880,3880,-0.0,2.5,4.53125,4.53125,2.03125,2.03125,0.383556,0.3835559042433332,0.5002069,0.5002069752202349,2.8835559,2.883555904243333,2.296875
27,220,220,-0.0,4.53125,2.765625,2.765625,-1.765625,-1.765625,-1.7344147,-1.7344148376385966,-0.8211017,-0.8211017152516341,2.7968354,2.796835162361403,4.3125
28,16,16,-0.0,2.765625,3.4375,3.4375,0.671875,0.671875,0.032853,0.03285280248568778,0.2814188,0.2814187516793974,2.7984781,2.798477802485688,2.625
29,220,220,-0.0,3.4375,2.40625,2.40625,-1.03125,-1.03125,-0.6726547,-0.6726549447519077,-0.1587164,-0.15871646793745248,2.7648454,2.7648450552480925,3.21875
30,16,16,-0.0,2.40625,3.265625,3.265625,0.859375,0.859375,0.3774686,0.37746847920851834,0.4964094,0.4964092987736047,2.7837186,2.7837184792085186,2.265625
31,14,14,-0.0,3.265625,2.421875,2.421875,-0.84375,-0.84375,-0.5072699,-0.5072700218857702,-0.05554,-0.05554009654816855,2.7583551,2.75835497811423,3.046875
32,19,19,-0.0,2.421875,3.96875,3.96875,1.546875,1.546875,0.3541896,0.3541894506465577,0.4818866,0.48188653784191654,2.7760646,2.7760644506465577,2.328125
33,25374,25374,-0.0,3.96875,3.171875,3.171875,-0.796875,-0.796875,-1.2554584,-1.2554584730036236,-0.5223019,-0.522301928061617,2.7132916,2.713291526996376,3.828125
34,315,315,-0.0,3.171875,2.078125,2.078125,-1.09375,-1.09375,-0.4827194,-0.4827194452669722,-0.0402241,-0.04022407277076282,2.6891556,2.689155554733028,2.96875
35,19828,19828,-0.0,2.078125,3.765625,3.765625,1.6875,1.6875,0.6431901,0.6431900576137135,0.6621813,0.6621812916769227,2.7213151,2.7213150576137135,1.9140625
