token_position,token_id,token,token_reward,old_critic_value,next_critic_value,discounted_next_value,stored_delta,recomputed_delta,stored_raw_advantage,recomputed_raw_advantage,stored_normalized_advantage,recomputed_normalized_advantage,stored_return,recomputed_return,final_critic_value
0,151667,<think>,-0.0,-1.5234375,4.375,4.33125,5.8984375,5.8546875,4.1167903,3.747318753603093,2.8292074,2.6972280170085923,2.5933528,2.223881253603093,-1.03125
1,271,ĊĊ,-0.0,4.375,0.3671875,0.363515625,-4.0078125,-4.011484375,-1.8754179,-2.365172554878683,-0.9090674,-1.2768786050782186,2.4995821,2.009827445121317,4.125
2,151668,</think>,-0.0,0.3671875,2.34375,2.3203125,1.9765625,1.953125,2.2446258,1.8477124804953058,1.6612465,1.462177120684228,2.6118133,2.214899980495306,0.6054688
3,271,ĊĊ,-0.0,2.34375,-0.0269775,-0.026707725,-2.3707275,-2.370457725,0.282172,-0.11830810269887104,0.4369579,0.1839461957601656,2.625922,2.225441897301129,2.421875
4,7941,She,-0.0,-0.0269775,1.8125,1.794375,1.8394775,1.8213525000000002,2.7925258,2.5276651204277543,2.0030572,1.9042561605859023,2.7655482,2.500687620427754,-0.0180664
5,3880,Ġneeds,-0.0,1.8125,4.03125,3.9909375,2.21875,2.1784375,1.0032086,0.7927189903790732,0.886781,0.7762609526707683,2.8157086,2.6052189903790732,1.671875
6,311,Ġto,-0.0,4.03125,1.4453125,1.430859375,-2.5859375,-2.600390625,-1.2795173,-1.5552396292041824,-0.5373112,-0.7502913854117003,2.7517328,2.4760103707958176,3.765625
7,1281,Ġmake,-0.0,1.4453125,2.890625,2.86171875,1.4453125,1.41640625,1.3751792,1.1730089739571468,1.118837,1.0235108653133906,2.8204918,2.6183214739571468,1.34375
8,220,Ġ,-0.0,2.890625,1.5625,1.546875,-1.328125,-1.34375,-0.0738245,-0.2731731493185783,0.2148674,0.08325890211164062,2.8168006,2.6174518506814217,2.71875
9,16,1,-0.0,1.5625,5.21875,5.1665625,3.65625,3.6040625000000004,1.3203163,1.2015452869600693,1.0846105,1.042064077866428,2.8828163,2.7640452869600693,1.484375
10,23,8,-0.0,5.21875,2.34375,2.3203125,-2.875,-2.8984375,-2.4588776,-2.696427848529664,-1.2730621,-1.492248049329691,2.7598724,2.522322151470336,5.0625
11,14709,Ġguests,-0.0,2.34375,2.515625,2.49046875,0.171875,0.1467187499999998,0.4380237,0.2267223922225992,0.534187,0.40827174576734937,2.7817736,2.5704723922225994,2.1875
12,353,Ġ*,-0.0,2.515625,3.75,3.7125,1.234375,1.196875,0.2801565,0.08979084424534167,0.4357006,0.31924412280224107,2.7957816,2.605415844245342,2.328125
13,220,Ġ,-0.0,3.75,3.734375,3.6970312499999998,-0.015625,-0.05296875000000023,-1.0044405,-1.242518693327338,-0.365703,-0.5469722673282365,2.7455595,2.507481306672662,3.546875
14,17,2,-0.0,3.734375,3.296875,3.26390625,-0.4375,-0.4704687500000002,-1.0408585,-1.3350728881339369,-0.3884225,-0.6071474430331778,2.6935165,2.399302111866063,3.625
15,85976,Ġbiscuits,-0.0,3.296875,1.7265625,1.709296875,-1.5703125,-1.587578125,-0.6351141,-0.9703750147406697,-0.1352964,-0.3700349204023438,2.6617608,2.32649998525933,3.109375
16,4846,/g,-0.0,1.7265625,0.8046875,0.796640625,-0.921875,-0.929921875,0.9844193,0.692708316789372,0.8750591,0.7112378614083427,2.7109818,2.419270816789372,1.5625
17,3045,uest,-0.0,0.8046875,3.359375,3.32578125,2.5546875,2.52109375,2.0066257,1.8211337730520447,1.5127687,1.4448966679316484,2.8113132,2.6258212730520447,0.6289062
18,284,Ġ=,-0.0,3.359375,3.40625,3.3721875,0.046875,0.012812499999999893,-0.5769072,-0.7855891997171213,-0.0989837,-0.24989429457703,2.7824678,2.5737858002828786,3.171875
19,220,Ġ,-0.0,3.40625,1.8203125,1.802109375,-1.5859375,-1.604140625,-0.6566128,-0.8960737370562527,-0.1487085,-0.32172708898417623,2.7496371,2.510176262943747,3.25
20,18,3,-0.0,1.8203125,3.40625,3.3721875,1.5859375,1.551875,0.9782365,0.7946878652567311,0.871202,0.777541039348111,2.7985489,2.615000365256731,1.6953125
21,21,6,-0.0,3.40625,3.109375,3.07828125,-0.296875,-0.32796875000000014,-0.6396853,-0.8498172107107393,-0.1381482,-0.29165287564184317,2.7665648,2.5564327892892607,3.328125
